FIXNUMBER,OTTERNO,OTTERNAME,Date,SEX,AGE_CLASS,STATUS,ACTIV,BEHAV,TealeX,TealeY,NEAR_DIST,ATOS,REPRO_STATE,REPRO_SUCCESS,UP_INDEX,DEPTH
N-1346-08-S_-3133106496_64822,N-1346-08-S,4.994,11/7/08,1,4,f,a,g,-134457.2756,-225308.1249,242.046848,618.4153249,1,1,49,-6.3401
N-1346-08-S_-3133020096_50324,N-1346-08-S,4.994,11/8/08,1,4,f,a,o,-134442.9987,-225299.5714,225.758327,618.4200968,1,1,149,-5.7835
N-1346-08-S_-3132847296_37852,N-1346-08-S,4.994,11/10/08,1,4,f,i,g,-134038.3686,-227572.2791,390.652915,622.4317064,1,1,47,-11.727
N-1346-08-S_-3132588096_54857,N-1346-08-S,4.994,11/13/08,1,4,f,i,g,-134477.8653,-225523.0359,338.404341,618.0166587,1,1,134,-9.5663
N-1346-08-S_-3132328896_47358,N-1346-08-S,4.994,11/16/08,1,4,f,a,f,-134294.6573,-226085.2854,324.645893,619.2241009,1,1,0,-9.8638
N-1346-08-S_-3132069696_49725,N-1346-08-S,4.994,11/19/08,1,4,f,i,r,-134168.9941,-226286.3831,202.951501,620.3560973,1,1,50,-7.6447
N-1346-08-S_-3131983296_54118,N-1346-08-S,4.994,11/20/08,1,4,f,a,g,-134306.5589,-226332.2232,348.057061,620.3559624,1,1,116,-12.7
N-1346-08-S_-3131724096_45393,N-1346-08-S,4.994,11/23/08,1,4,f,a,g,-134197.3075,-226368.2761,265.877315,620.2308409,1,1,-9,-9.5659
N-1346-08-S_-3131551296_32066,N-1346-08-S,4.994,11/25/08,1,4,f,a,f,-134522.9832,-224933.4,145.352028,617.21372,1,1,-13,-3.3327
N-1346-08-S_-3131205696_43822,N-1346-08-S,4.994,11/29/08,1,4,f,i,r,-134273.1439,-226212.4086,295.274971,619.4561749,1,1,3,-10.661
N-1346-08-S_-3130773696_50982,N-1346-08-S,4.994,12/4/08,1,4,f,a,i,-134238.0536,-226324.0777,280.989011,620.3306545,1,1,0,-10.455
N-1346-08-S_-3130600896_37145,N-1346-08-S,4.994,12/6/08,1,4,f,i,r,-134263.6582,-226439.9038,361.722843,620.1451946,1,1,6,-12.109
N-1346-08-S_-3130341696_49504,N-1346-08-S,4.994,12/9/08,1,4,f,i,r,-134258.176,-226280.3145,287.215018,620.4178588,1,1,6,-10.722
N-1346-08-S_-3130255296_36918,N-1346-08-S,4.994,12/10/08,1,4,f,i,r,-134350.1679,-226303.9801,382.257155,620.4298466,1,1,-9999,-13.905
N-1346-08-S_-3130168896_32211,N-1346-08-S,4.994,12/11/08,1,4,f,i,r,-134243.8124,-226294.9855,276.902572,620.3842451,1,1,-9999,-10.379
N-1346-08-S_-3129996096_39613,N-1346-08-S,4.994,12/13/08,1,4,f,i,r,-134310.6562,-226226.1528,333.02172,619.4583619,1,1,158,-12.062
N-1346-08-S_-3129736896_40681,N-1346-08-S,4.994,12/16/08,1,4,f,i,r,-134226.626,-226313.4789,266.458231,620.3424022,1,1,-7,-9.9912
N-1346-08-S_-3129304896_46648,N-1346-08-S,4.994,12/21/08,1,4,f,i,r,-134062.1442,-227738.0251,415.487777,623.2633893,1,1,29,-14.749
N-1346-08-S_-3128181696_39700,N-1346-08-S,4.994,1/3/09,1,4,f,a,g,-134341.1136,-225991.8827,359.361036,619.0726735,1,1,99,-10.511
N-1346-08-S_-3128008896_42085,N-1346-08-S,4.994,1/5/09,1,4,f,a,g,-134359.0789,-226337.8418,399.748018,620.3764471,1,1,49,-14.398
N-1346-08-S_-3127836096_39500,N-1346-08-S,4.994,1/7/09,1,4,f,i,g,-134261.2036,-226306.7128,296.950725,620.3739756,1,1,27,-11.046
N-1346-08-S_-3127490496_41436,N-1346-08-S,4.994,1/11/09,1,4,f,i,g,-134325.5453,-226044.4639,350.702665,619.1357912,1,1,25,-10.549
N-1346-08-S_-3127317696_40506,N-1346-08-S,4.994,1/13/09,1,4,f,i,r,-135026.5868,-224608.7629,361.033922,616.309327,1,1,-6,-12.79
