Depth,Distance,TealeX,TealeY,ATOScal
-53,1983.974089,-128250,-242111.5809,657.1019919
-53,1894.497853,-128150,-242111.5809,656.9503357
-46,1806.124957,-128050,-242111.5809,657.067013
-46,1719.026644,-127950,-242111.5809,657.1836904
-41,1633.406822,-127850,-242111.5809,657.3003677
-41,1549.510597,-127750,-242111.5809,657.417045
-38,1467.633583,-127650,-242111.5809,657.5337223
-38,1388.133127,-127550,-242111.5809,657.6503996
-36,1311.441505,-127450,-242111.5809,657.767077
-36,1238.080799,-127350,-242111.5809,657.8837543
-33,1168.678445,-127250,-242111.5809,658.0936957
-33,1103.868386,-127150,-242111.5809,658.2226441
-32,1025.934467,-127050,-242111.5809,658.3515924
-32,951.190692,-126950,-242111.5809,658.4805408
-30,881.468057,-126850,-242111.5809,658.6094891
-30,803.098266,-126750,-242111.5809,658.7384375
-28,728.051635,-126650,-242111.5809,659.2606332
-28,648.957214,-126550,-242111.5809,659.3440874
-25,573.323514,-126450,-242111.5809,659.4275416
-25,499.88621,-126350,-242111.5809,659.5109959
-20,421.775834,-126250,-242111.5809,659.5944501
-20,346.0982,-126150,-242111.5809,659.6779044
-11,264.136227,-126050,-242111.5809,659.7613586
-11,177.466513,-125950,-242111.5809,659.8448128
-1,85.197519,-125850,-242111.5809,659.9282671
-49,1941.962066,-128250,-242011.5809,656.9382761
-49,1850.70197,-128150,-242011.5809,657.0487616
-44,1760.381281,-128050,-242011.5809,656.9301663
-44,1670.906056,-127950,-242011.5809,657.0468436
-39,1582.685153,-127850,-242011.5809,657.163521
-39,1495.947036,-127750,-242011.5809,657.2801983
-37,1410.965194,-127650,-242011.5809,657.3968756
-37,1328.076814,-127550,-242011.5809,657.5135529
-34,1247.699189,-127450,-242011.5809,657.6302302
-34,1170.349738,-127350,-242011.5809,657.7469076
-31,1096.669391,-127250,-242011.5809,657.8635849
-31,1027.447808,-127150,-242011.5809,658.0768049
-30,963.646326,-127050,-242011.5809,658.2057533
-30,885.203435,-126950,-242011.5809,658.3347016
-28,809.819316,-126850,-242011.5809,658.46365
-28,740.290164,-126750,-242011.5809,658.5925983
-25,662.631274,-126650,-242011.5809,658.7215467
-25,586.662223,-126550,-242011.5809,659.1943447
-21,508.928757,-126450,-242011.5809,659.2777989
-21,431.929237,-126350,-242011.5809,659.3612532
-14,361.07698,-126250,-242011.5809,659.4447074
-14,280.60635,-126150,-242011.5809,659.5281616
-6,212.790373,-126050,-242011.5809,659.6116159
-6,123.54645,-125950,-242011.5809,659.6950701
0,50.093869,-125850,-242011.5809,659.7785244
-49,1903.408377,-128250,-241911.5809,656.7745602
-49,1811.101345,-128150,-241911.5809,656.8850458
-44,1718.711494,-128050,-241911.5809,656.9955314
-44,1627.221655,-127950,-241911.5809,656.9099969
-39,1536.788473,-127850,-241911.5809,657.0266742
-39,1447.318894,-127750,-241911.5809,657.1433516
-37,1359.30027,-127650,-241911.5809,657.2600289
-37,1273.052422,-127550,-241911.5809,657.3767062
-34,1188.96077,-127450,-241911.5809,657.4933835
-34,1107.516571,-127350,-241911.5809,657.6100608
-31,1029.348434,-127250,-241911.5809,657.7267382
-31,955.260929,-127150,-241911.5809,657.8434155
-30,886.277996,-127050,-241911.5809,658.0599141
-30,823.682494,-126950,-241911.5809,658.1888625
-28,744.705955,-126850,-241911.5809,658.3178108
-28,668.469084,-126750,-241911.5809,658.4467592
-25,599.227102,-126650,-241911.5809,658.5757075
-25,522.679238,-126550,-241911.5809,658.7046559
-21,445.293098,-126450,-241911.5809,658.8336043
-21,369.961476,-126350,-241911.5809,659.2115104
-14,290.561318,-126250,-241911.5809,659.2949647
-14,224.252788,-126150,-241911.5809,659.3784189
-6,139.911437,-126050,-241911.5809,659.4618732
-6,75.195509,-125950,-241911.5809,659.5453274
0,4.619608,-125850,-241911.5809,659.6287816
-52,1992.510562,-128450,-241811.5809,656.3898733
-52,1913.723866,-128350,-241811.5809,656.5003588
-46,1837.00292,-128250,-241811.5809,656.6108444
-46,1762.229898,-128150,-241811.5809,656.72133
-41,1681.951099,-128050,-241811.5809,656.8318155
-41,1588.345244,-127950,-241811.5809,656.9423011
-38,1495.567361,-127850,-241811.5809,657.0527866
-38,1403.781623,-127750,-241811.5809,657.0065048
-34,1313.195666,-127650,-241811.5809,657.1231822
-34,1223.738908,-127550,-241811.5809,657.2398595
-31,1136.00271,-127450,-241811.5809,657.3565368
-31,1050.460566,-127350,-241811.5809,657.4732141
-29,967.6945,-127250,-241811.5809,657.5898914
-29,888.480663,-127150,-241811.5809,657.7065688
