Latitude,Longitude,Loc. quality,Loc. date,Pass,Sat.,Frequency,Msg Date,Comp.,Msg,> - 120 DB,Best level,Delta freq.,Long. 1,Lat. sol. 1,Long. 2,Lat. sol. 2,Loc. idx,Nopc,Error radius,Semi-major axis,Semi-minor axis,Ellipse orientation,GDOP,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
24.42757,-77.76371,3,11/09/2020 14:42:12,682,MC,401677541.93,11/09/2020 14:40:42,1,28,3,-115,401677541.93,-77.76371,24.42757,-77.76371,24.42757,50,3,166,1596,17,100,320,77,135,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.42757,-77.76371,3,11/09/2020 14:42:12,682,MC,401677541.93,11/09/2020 14:41:11,1,28,3,-115,401677541.93,-77.76371,24.42757,-77.76371,24.42757,50,3,166,1596,17,100,320,84,233,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.42708,-77.76334,2,11/09/2020 14:46:01,624,NN,401677540.99,11/09/2020 14:43:09,1,20,0,-123,401677540.99,-77.76334,24.42708,-77.76334,24.42708,56,3,292,926,92,100,170,72,134,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.42757,-77.76371,3,11/09/2020 14:42:12,682,MC,401677541.93,11/09/2020 14:43:09,1,28,3,-115,401677541.93,-77.76371,24.42757,-77.76371,24.42757,50,3,166,1596,17,100,320,72,134,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.42708,-77.76334,2,11/09/2020 14:46:01,624,NN,401677540.99,11/09/2020 14:43:38,1,20,0,-123,401677540.99,-77.76334,24.42708,-77.76334,24.42708,56,3,292,926,92,100,170,95,238,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.42757,-77.76371,3,11/09/2020 14:42:12,682,MC,401677541.93,11/09/2020 14:43:38,1,28,3,-115,401677541.93,-77.76371,24.42757,-77.76371,24.42757,50,3,166,1596,17,100,320,95,238,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.42708,-77.76334,2,11/09/2020 14:46:01,624,NN,401677540.99,11/09/2020 14:44:07,1,20,0,-123,401677540.99,-77.76334,24.42708,-77.76334,24.42708,56,3,292,926,92,100,170,102,140,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.42757,-77.76371,3,11/09/2020 14:42:12,682,MC,401677541.93,11/09/2020 14:44:07,1,28,3,-115,401677541.93,-77.76371,24.42757,-77.76371,24.42757,50,3,166,1596,17,100,320,102,140,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.42708,-77.76334,2,11/09/2020 14:46:01,624,NN,401677540.99,11/09/2020 14:44:37,1,20,0,-123,401677540.99,-77.76334,24.42708,-77.76334,24.42708,56,3,292,926,92,100,170,90,176,131,220,232,208,34,210,228,186,214,39,148,3,225,22,1,255,255,216,112,0,0,,,,,,,,,
24.42757,-77.76371,3,11/09/2020 14:42:12,682,MC,401677541.93,11/09/2020 14:44:37,1,28,3,-115,401677541.93,-77.76371,24.42757,-77.76371,24.42757,50,3,166,1596,17,100,320,90,176,131,220,232,208,34,210,228,186,214,39,148,3,225,22,1,255,255,216,112,0,0,,,,,,,,,
24.42757,-77.76371,3,11/09/2020 14:42:12,682,MC,401677541.93,11/09/2020 14:45:28,1,28,3,-115,401677541.93,-77.76371,24.42757,-77.76371,24.42757,50,3,166,1596,17,100,320,22,11,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.42708,-77.76334,2,11/09/2020 14:46:01,624,NN,401677540.99,11/09/2020 14:46:41,1,20,0,-123,401677540.99,-77.76334,24.42708,-77.76334,24.42708,56,3,292,926,92,100,170,66,132,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.42757,-77.76371,3,11/09/2020 14:42:12,682,MC,401677541.93,11/09/2020 14:47:10,1,28,3,-115,401677541.93,-77.76371,24.42757,-77.76371,24.42757,50,3,166,1596,17,100,320,95,254,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.42708,-77.76334,2,11/09/2020 14:46:01,624,NN,401677540.99,11/09/2020 14:48:09,2,20,0,-123,401677540.99,-77.76334,24.42708,-77.76334,24.42708,56,3,292,926,92,100,170,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.42708,-77.76334,2,11/09/2020 14:46:01,624,NN,401677540.99,11/09/2020 14:48:38,11,20,0,-123,401677540.99,-77.76334,24.42708,-77.76334,24.42708,56,3,292,926,92,100,170,22,75,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.42757,-77.76371,3,11/09/2020 14:42:12,682,MC,401677541.93,11/09/2020 14:49:08,1,28,3,-115,401677541.93,-77.76371,24.42757,-77.76371,24.42757,50,3,166,1596,17,100,320,66,117,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
